Nome,Preco,Preco_promocional,Link,Data,Marca,Faixa_preco
Notebook Acer Nitro V15 ANV15-51-58AZ Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto,7398,7398,https://www.mercadolivre.com.br/notebook-acer-nitro-v15-anv15-51-58az-core-i5-13420h-8gb-512gb-rtx-3050-cor-preto/p/MLB39107224#polycard_client=search-nordic&searchVariation=MLB39107224&wid=MLB5117986194&position=28&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,acer,Acima de 7000
"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",3999,3999,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1i-intel-core-i5-1235u-8gb-ram-512gb-ssd-windows-11-home-tela-156-hd-82vy000qbr/p/MLB28131262#polycard_client=search-nordic&searchVariation=MLB28131262&wid=MLB3825341967&position=22&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,lenovo,3000-5000
Notebook Acer Aspire 5 A15-51M-54E6 / Intel Core™ i5-13420H de 13ª Geração / 8GB / 512SSD / Windows 11 Home / 15.6” Full HD,3599,3599,https://www.mercadolivre.com.br/notebook-acer-aspire-5-a15-51m-54e6-intel-core-i5-13420h-de-13-geraco-8gb-512ssd-windows-11-home-156-full-hd/p/MLB42134393#polycard_client=search-nordic&searchVariation=MLB42134393&wid=MLB5162304560&position=26&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,acer,3000-5000
"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",5831,5831,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-intel-core-i5-1335u-13-ghz-ate-46ghz-12-mb-l3-cache-windows-11-home-8gb-512gb-ssd-iris-xe-156-full-hd-led-155kg/p/MLB37044038#polycard_client=search-nordic&searchVariation=MLB37044038&wid=MLB3964026507&position=34&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,samsung,5000-7000
Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel® Iris Xe Graphics 256gb Ssd 16gb Ram Windows 11 Home Pls Sl- Ay6z5la#ak4,3803,3803,https://www.mercadolivre.com.br/notebook-hp-256r-g9-intel-core-i5-1335u-156-hd-intel-iris-xe-graphics-256gb-ssd-16gb-ram-windows-11-home-pls-sl-ay6z5laak4/p/MLB45500065#polycard_client=search-nordic&searchVariation=MLB45500065&wid=MLB5329889772&position=27&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,hp,3000-5000
"Notebook VAIO FE15 Intel Core i5 11th, 16GB 512GB SSD, Tela 15,6'' Full HD Antirreflexo, Linux - Cinza Grafite, VJFE55F11XB0611H",3663,3663,https://www.mercadolivre.com.br/notebook-vaio-fe15-intel-core-i5-11th-16gb-512gb-ssd-tela-156-full-hd-antirreflexo-linux-cinza-grafite-vjfe55f11xb0611h/p/MLB24254458#polycard_client=search-nordic&searchVariation=MLB24254458&wid=MLB5302061402&position=5&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,Outros,3000-5000
"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 16gb Ram 512gb Ssd Linux Keepos Tela 15,60 Fhd Quiet Blue - Nj931",3799,3799,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504za-intel-core-i5-1235u-16gb-ram-512gb-ssd-linux-keepos-tela-1560-fhd-quiet-blue-nj931/p/MLB36979946#polycard_client=search-nordic&searchVariation=MLB36979946&wid=MLB4704102640&position=4&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,asus,3000-5000
Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,3698,3698,https://www.mercadolivre.com.br/notebook-dell-inspiron-i15-i120k-a25p-i5-8gb-512gb-156-w11/p/MLB39353557#polycard_client=search-nordic&searchVariation=MLB39353557&wid=MLB5016573914&position=14&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,dell,3000-5000
"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 512gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj986w",3699,3699,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504za-intel-core-i5-1235u-8gb-ram-512gb-ssd-windows-11-tela-156-fhd-silver-nj986w/p/MLB36966293#polycard_client=search-nordic&searchVariation=MLB36966293&wid=MLB4704168884&position=33&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,asus,3000-5000
"Notebook Dell Latitude 5480 14"" preto 16GB de Ram - 256GB SSD - 16GB HDD - Intel Core i5",2999,2999,https://www.mercadolivre.com.br/notebook-dell-latitude-5480-14-preto-16gb-de-ram-256gb-ssd-16gb-hdd-intel-core-i5/p/MLB29078808#polycard_client=search-nordic&searchVariation=MLB29078808&wid=MLB5329641998&position=15&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,dell,Ate 3000
Notebook Asus Tuf Gaming Rtx3050 Core I5 16gb 512ssd W11,6300,6300,https://www.mercadolivre.com.br/notebook-asus-tuf-gaming-rtx3050-core-i5-16gb-512ssd-w11/p/MLB29752823#polycard_client=search-nordic&searchVariation=MLB29752823&wid=MLB3667577051&position=10&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,asus,5000-7000
"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 16gb RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' - 82vy000xbr - Cloudgrey",3799,3799,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1i-intel-core-i5-1235u-16gb-ram-512gb-ssd-windows-11-home-tela-156-82vy000xbr-cloudgrey/p/MLB29953351#polycard_client=search-nordic&searchVariation=MLB29953351&wid=MLB4039270515&position=21&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,lenovo,3000-5000
Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11,4372,4372,https://www.mercadolivre.com.br/notebook-acer-aspire-15-555q-intel-ci5-13gen-8gb-256ssd-w11/p/MLB45574324#polycard_client=search-nordic&searchVariation=MLB45574324&wid=MLB5273849678&position=35&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,acer,3000-5000
"Notebook Asus vivobook 15 x1504za intel core i5 1235u 8gb ram 512gb ssd linux keepos tela 15,6 fhd blue nj983",3199,3199,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504za-intel-core-i5-1235u-8gb-ram-512gb-ssd-linux-keepos-tela-156-fhd-blue-nj983/p/MLB35718631#polycard_client=search-nordic&searchVariation=MLB35718631&wid=MLB4825408230&position=12&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,asus,3000-5000
Notebook Lenovo Thinkpad - I5 8th + 16 Gb Ddr4 + 256 Gb Ssd,2299,2299,https://produto.mercadolivre.com.br/MLB-3969086937-notebook-lenovo-thinkpad-i5-8th-16-gb-ddr4-256-gb-ssd-_JM?searchVariation=182841458054#polycard_client=search-nordic&searchVariation=182841458054&position=39&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19,2025-04-25 04:38:24,lenovo,Ate 3000
"Dell Latitude 3400 Core I5 8265u 8gb Ssd 256gb, Win 11 Pro",1799,1799,https://produto.mercadolivre.com.br/MLB-4010001567-dell-latitude-3400-core-i5-8265u-8gb-ssd-256gb-win-11-pro-_JM?searchVariation=183181012670#polycard_client=search-nordic&searchVariation=183181012670&position=40&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19,2025-04-25 04:38:24,dell,Ate 3000
"Notebook Gamer Lenovo Loq 15irh8 Intel Core i5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",5158,5158,https://www.mercadolivre.com.br/notebook-gamer-lenovo-loq-15irh8-intel-core-i5-12450h-16gb-ram-512gb-ssd-rtx-2050-windows-11-home-tela-156-full-hd-83eu0001br/p/MLB29758046#polycard_client=search-nordic&searchVariation=MLB29758046&wid=MLB3698630629&position=23&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,lenovo,5000-7000
"Notebook Latitude 3420 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5 - Excelente (Recondicionado)",2632,2632,https://www.mercadolivre.com.br/notebook-latitude-3420-14-preto-8gb-de-ram-256gb-ssd-intel-core-i5-excelente-recondicionado/p/MLB2010863692#polycard_client=search-nordic&searchVariation=MLB2010863692&wid=MLB5335652958&position=6&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,Outros,Ate 3000
"Notebook Ultra, Com Windows 11 Pro, Tela 14 Pol Ul154i5wpro Cor Preto",2399,2399,https://www.mercadolivre.com.br/notebook-ultra-com-windows-11-pro-tela-14-pol-ul154i5wpro-cor-preto/p/MLB46318891#polycard_client=search-nordic&searchVariation=MLB46318891&wid=MLB4001644271&position=8&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,Outros,Ate 3000
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Led Fhd Silver - Nj1726",4999,4999,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-4gb-ram-256gb-ssd-linux-keepos-tela-156-led-fhd-silver-nj1726/p/MLB48919073#polycard_client=search-nordic&searchVariation=MLB48919073&wid=MLB4040572743&position=3&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,asus,3000-5000
Notebook Ideapad 1i Intel Core i5 12gb 512gb Linux 82vys00900 Cloud Grey,3597,3597,https://www.mercadolivre.com.br/notebook-ideapad-1i-intel-core-i5-12gb-512gb-linux-82vys00900-cloud-grey/p/MLB29131416#polycard_client=search-nordic&searchVariation=MLB29131416&wid=MLB5219488230&position=9&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,Outros,3000-5000
"Notebook Asus Vivobook 15 X1504za-Nj1217 Intel Core I5 1235u 4gb Ram 256gb Ssd Linux Keepos Tela 15,60 Azul",2999,2999,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504za-nj1217-intel-core-i5-1235u-4gb-ram-256gb-ssd-linux-keepos-tela-1560-azul/p/MLB38770900#polycard_client=search-nordic&searchVariation=MLB38770900&wid=MLB3800742333&position=25&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,asus,Ate 3000
"Notebook Aspire 5 A515-57-58w1 I5 Linux 8gb 256gb 15,6' Fhd",2999,2999,https://www.mercadolivre.com.br/notebook-aspire-5-a515-57-58w1-i5-linux-8gb-256gb-156-fhd/p/MLB26998725#polycard_client=search-nordic&searchVariation=MLB26998725&wid=MLB3590500513&position=17&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,Outros,Ate 3000
Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,3515,3515,https://produto.mercadolivre.com.br/MLB-3814239669-notebook-dell-inspiron-i15-i120k-a25p-i5-8gb-512gb-156-w11-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&wid=MLB3814239669&sid=search,2025-04-25 04:38:24,dell,3000-5000
Notebook Lenovo Ideapad 15iau7 Ci5 8gb 512ssd W11 82vy000qbr,4284,4284,https://produto.mercadolivre.com.br/MLB-3838710951-notebook-lenovo-ideapad-15iau7-ci5-8gb-512ssd-w11-82vy000qbr-_JM?searchVariation=184669216635#polycard_client=search-nordic&searchVariation=184669216635&position=42&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19,2025-04-25 04:38:24,lenovo,3000-5000
Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,6999,6999,https://produto.mercadolivre.com.br/MLB-4022599343-lenovo-loq-e-i5-rtx3050-16gbcontrole-xbox-pcgift-card-r50-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&wid=MLB4022599343&sid=search,2025-04-25 04:38:24,lenovo,5000-7000
"Notebook Samsung Book4 I5-1335u 8gb 256gb Ssd 15,6 Full Hd Windows 11 Pro Np754xgj-kg5br 110v/220v",3397,3397,https://www.mercadolivre.com.br/notebook-samsung-book4-i5-1335u-8gb-256gb-ssd-156-full-hd-windows-11-pro-np754xgj-kg5br-110v220v/p/MLB47248528#polycard_client=search-nordic&searchVariation=MLB47248528&wid=MLB5364270434&position=18&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,samsung,3000-5000
Notebook Gamer Nitro V15 Anv15-51-57ws I5 Lx 8gb 512gb Ssd,5299,5299,https://produto.mercadolivre.com.br/MLB-3698339281-notebook-gamer-nitro-v15-anv15-51-57ws-i5-lx-8gb-512gb-ssd-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&wid=MLB3698339281&sid=search,2025-04-25 04:38:24,Outros,5000-7000
Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,6656,6656,https://produto.mercadolivre.com.br/MLB-4022397389-lenovo-loq-e-i5-rtx3050-16gbcontrole-xbox-pcgift-card-r50-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&wid=MLB4022397389&sid=search,2025-04-25 04:38:24,lenovo,5000-7000
Notebook Lenovo T450 I5 5a 8gb Ram Ssd 256gb,1499,1499,https://produto.mercadolivre.com.br/MLB-5349353948-notebook-lenovo-t450-i5-5a-8gb-ram-ssd-256gb-_JM?searchVariation=187510588289#polycard_client=search-nordic&searchVariation=187510588289&position=46&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19,2025-04-25 04:38:24,lenovo,Ate 3000
Notebook Dell Latitude 3490 I5 8gb 256gb Ssd 14  Fhd,1750,1750,https://produto.mercadolivre.com.br/MLB-4010078597-notebook-dell-latitude-3490-i5-8gb-256gb-ssd-14-fhd-_JM?searchVariation=187286395145#polycard_client=search-nordic&searchVariation=187286395145&position=47&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19,2025-04-25 04:38:24,dell,Ate 3000
Notebook Acer Aspire 54e6 Ci5 13ªg 8gb 512ssd W11 Home 15.6,3599,3599,https://produto.mercadolivre.com.br/MLB-3876902441-notebook-acer-aspire-54e6-ci5-13g-8gb-512ssd-w11-home-156-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&wid=MLB3876902441&sid=search,2025-04-25 04:38:24,acer,3000-5000
Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),1734,1734,https://www.mercadolivre.com.br/notebook-lenovo-t480-core-i5-8th-16gb-ssd-240gb-tela-hd-cor-black-excelente-recondicionado/p/MLB2010898968#polycard_client=search-nordic&searchVariation=MLB2010898968&wid=MLB5339048752&position=11&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,lenovo,Ate 3000
"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",5875,5875,https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-intel-core-i5-13420h-8gb-ram-512gb-ssd-nvidia-rtx4050-windows-11-home-tela-156-full-hd-anv15-51-54dl/p/MLB37728210#polycard_client=search-nordic&searchVariation=MLB37728210&wid=MLB5322539480&position=13&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,acer,5000-7000
Notebook Lenovo Thinkpad E14 Core I5-10210u 16gb Ssd 256gb,2249,2249,https://produto.mercadolivre.com.br/MLB-5207489498-notebook-lenovo-thinkpad-e14-core-i5-10210u-16gb-ssd-256gb-_JM#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&wid=MLB5207489498&sid=search,2025-04-25 04:38:24,lenovo,Ate 3000
"Notebook ThinkPad E14 14"" black 16GB de Ram 256GB SSD Intel Core i5 - Excelente (Recondicionado)",2977,2977,https://www.mercadolivre.com.br/notebook-thinkpad-e14-14-black-16gb-de-ram-256gb-ssd-intel-core-i5-excelente-recondicionado/p/MLB2010722341#polycard_client=search-nordic&searchVariation=MLB2010722341&wid=MLB5338153618&position=20&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,Outros,Ate 3000
Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,6656,6656,https://produto.mercadolivre.com.br/MLB-4022423411-lenovo-loq-e-i5-rtx-3050-16gbcontrole-xboxgift-card-r50-_JM#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&wid=MLB4022423411&sid=search,2025-04-25 04:38:24,lenovo,5000-7000
Notebook Hp Elitebook 840 G9 Intel Vpro I5- W11p 256gb,8177,8177,https://www.mercadolivre.com.br/notebook-hp-elitebook-840-g9-intel-vpro-i5-w11p-256gb/p/MLB40978716#polycard_client=search-nordic&searchVariation=MLB40978716&wid=MLB3879664373&position=31&search_layout=grid&type=product&tracking_id=7b13950e-1644-4a78-8551-dad541a85b19&sid=search,2025-04-25 04:38:24,hp,Acima de 7000
